model,run,stage,meeting,alignscore,minicheck_ft5_mean,minicheck_ft5_supported_ratio,qafacteval_score,rouge1,rouge2,rougeL,bertscore_f1,summary_words
gemini,2,baseline,ES2010a,0.5503,0.2451,0.2,1.314,0.3782,0.0659,0.2109,0.8609,152
gemini,2,baseline,ES2010b,0.812,0.4009,0.4444,1.4642,0.4521,0.0963,0.1968,0.8593,221
gemini,2,baseline,ES2010c,0.7738,0.3948,0.3333,1.2025,0.4513,0.1067,0.2168,0.8592,300
gemini,2,baseline,ES2010d,0.7214,0.3432,0.4286,0.5375,0.35,0.0692,0.1875,0.8466,181
gemini,2,baseline,covid_0,0.5226,0.3742,0.3243,1.3968,0.1821,0.0338,0.0843,0.7979,450
gemini,2,baseline,covid_1,0.7791,0.4622,0.4375,0.3898,0.1354,0.0174,0.0833,0.8199,473
gemini,2,baseline,covid_10,0.6128,0.3975,0.3333,1.0571,0.2834,0.0323,0.139,0.8389,239
gemini,2,baseline,covid_3,0.7682,0.3353,0.3,0.5189,0.2815,0.0472,0.1584,0.8329,239
gemini,2,baseline,covid_5,0.6128,0.6527,0.7284,0.5406,0.2092,0.0642,0.1225,0.8392,883
gemini,2,baseline,covid_7,0.7192,0.4848,0.4783,0.3588,0.2412,0.0581,0.1479,0.8213,477
gemini,2,baseline,covid_8,0.6289,0.4657,0.4667,0.589,0.1804,0.0357,0.1042,0.8118,633
gemini,2,baseline,education_1,0.7455,0.5587,0.5714,1.9122,0.4183,0.0878,0.1863,0.8544,336
gemini,2,reflection,Bdb001,0.7025,0.216,0.1667,0.6983,0.2491,0.0228,0.1283,0.8627,167
gemini,2,reflection,Bed004,0.7116,0.3932,0.3333,0.7067,0.3166,0.0424,0.1636,0.844,251
gemini,2,reflection,Bed005,0.7403,0.4745,0.5,0.769,0.3469,0.0616,0.1565,0.8417,186
gemini,2,reflection,Bed006,0.7243,0.4886,0.5556,0.7131,0.2907,0.0279,0.1384,0.8435,174
gemini,2,reflection,Bed009,0.5361,0.1874,0.1429,0.6839,0.2905,0.0502,0.166,0.8612,179
gemini,2,reflection,Bed011,0.7982,0.4453,0.4444,0.9615,0.2756,0.0581,0.1731,0.8481,208
gemini,2,reflection,ES2008c,0.8269,0.3815,0.4444,1.0786,0.3342,0.08,0.1592,0.8443,261
gemini,2,reflection,ES2008d,0.521,0.044,0.0,1.1003,0.4053,0.087,0.2591,0.8618,174
gemini,2,reflection,ES2010a,0.5503,0.2451,0.2,1.314,0.3782,0.0659,0.2109,0.8609,152
gemini,2,reflection,ES2010b,0.7249,0.3425,0.375,0.8294,0.4375,0.1006,0.225,0.8582,165
gemini,2,reflection,ES2010c,0.811,0.2871,0.2308,1.1662,0.4924,0.1378,0.2437,0.8696,242
gemini,2,reflection,ES2010d,0.8468,0.389,0.4286,0.7763,0.3377,0.0733,0.1921,0.8463,163
gemini,2,reflection,covid_0,0.534,0.6941,0.6667,2.1082,0.2733,0.0292,0.1163,0.8221,210
gemini,2,reflection,covid_1,0.5725,0.3404,0.2857,0.4528,0.1875,0.0,0.1172,0.8283,168
gemini,2,reflection,covid_10,0.5864,0.4622,0.4444,1.1087,0.2938,0.0341,0.1469,0.8396,219
gemini,2,reflection,covid_3,0.7575,0.2106,0.1429,0.4953,0.3116,0.0584,0.1594,0.8395,175
gemini,2,reflection,covid_5,0.6658,0.5056,0.5455,0.85,0.344,0.1139,0.2079,0.8355,358
gemini,2,reflection,covid_7,0.7148,0.519,0.55,0.5525,0.2457,0.0521,0.1488,0.8168,437
gemini,2,reflection,covid_8,0.5268,0.2371,0.1667,1.4284,0.3251,0.0356,0.1979,0.8369,146
gemini,2,reflection,education_1,0.7455,0.5587,0.5714,1.9122,0.4183,0.0878,0.1863,0.8544,336
gemini,3,baseline,Bdb001,0.7555,0.2863,0.3333,0.6956,0.2759,0.0289,0.1322,0.86,246
gemini,3,baseline,Bed004,0.3099,0.0246,0.0,0.0,0.3213,0.0726,0.1836,0.8496,175
gemini,3,baseline,Bed005,0.6207,0.3137,0.25,0.8531,0.312,0.056,0.1393,0.8359,253
gemini,3,baseline,Bed006,0.456,0.2694,0.25,0.8249,0.254,0.0639,0.127,0.8504,194
gemini,3,baseline,Bed009,0.5529,0.3814,0.4,0.8094,0.2289,0.0485,0.1265,0.8412,269
gemini,3,baseline,Bed011,0.598,0.2624,0.25,0.8092,0.2753,0.0565,0.1573,0.8426,255
gemini,3,baseline,ES2008c,0.7529,0.3722,0.4,0.8347,0.3196,0.0734,0.1598,0.8425,317
gemini,3,baseline,ES2008d,0.6216,0.1725,0.1429,0.4933,0.413,0.1365,0.2124,0.8651,213
gemini,3,baseline,ES2010a,0.852,0.6956,0.7143,2.0427,0.3475,0.0929,0.2128,0.8532,156
gemini,3,baseline,ES2010b,0.8854,0.2383,0.1429,1.4588,0.4066,0.0939,0.2143,0.8588,206
gemini,3,baseline,ES2010c,0.7135,0.41,0.5,1.3058,0.4673,0.1111,0.2211,0.8678,242
gemini,3,baseline,ES2010d,0.7186,0.3251,0.2857,0.6643,0.4125,0.1069,0.225,0.8554,189
gemini,3,baseline,covid_0,0.7536,0.4516,0.5,1.5185,0.2656,0.0262,0.1302,0.8211,248
gemini,3,baseline,covid_1,0.7416,0.4012,0.375,0.9536,0.2108,0.0121,0.1265,0.8307,244
gemini,3,baseline,covid_10,0.4463,0.3352,0.3333,0.8179,0.2445,0.0344,0.1516,0.8395,275
gemini,3,baseline,covid_3,0.3545,0.0628,0.0,0.7412,0.2661,0.0737,0.1789,0.8435,326
gemini,3,baseline,covid_5,0.724,0.5727,0.5714,1.1609,0.3142,0.0816,0.1885,0.8336,368
gemini,3,baseline,covid_7,0.5765,0.2837,0.2,1.2838,0.2567,0.0535,0.1646,0.8117,281
gemini,3,baseline,covid_8,0.6996,0.5155,0.5455,0.6234,0.3217,0.0485,0.1609,0.834,235
