model,run,stage,meeting,alignscore,minicheck_ft5_mean,minicheck_ft5_supported_ratio,qafacteval_score,rouge1,rouge2,rougeL,bertscore_f1,summary_words
o4mini,1,baseline,ES2008d,0.4221,0.0277,0.0,0.8204,0.3396,0.038,0.1585,0.8412,131
o4mini,1,baseline,ES2010a,0.5518,0.1277,0.0,1.0058,0.3308,0.0543,0.1923,0.8481,134
o4mini,1,baseline,ES2010b,0.5146,0.0221,0.0,0.6351,0.3841,0.0733,0.1921,0.8534,142
o4mini,1,baseline,ES2010c,0.7345,0.2646,0.2857,1.2323,0.4474,0.0861,0.2105,0.866,149
o4mini,1,baseline,ES2010d,0.3433,0.1853,0.1667,0.3062,0.2982,0.044,0.1673,0.8308,136
o4mini,1,baseline,covid_0,0.3696,0.2251,0.1429,0.6504,0.1722,0.0067,0.106,0.8233,160
o4mini,1,baseline,covid_1,0.4269,0.103,0.0,1.0288,0.1991,0.0,0.1357,0.8355,135
o4mini,1,baseline,covid_10,0.4175,0.0417,0.0,0.5977,0.1908,0.0231,0.1298,0.8295,131
o4mini,1,baseline,covid_3,0.3462,0.2281,0.2,0.7971,0.2305,0.0664,0.1893,0.8521,147
o4mini,1,baseline,covid_5,0.3535,0.0432,0.0,0.9016,0.1892,0.0204,0.1216,0.8276,127
o4mini,1,baseline,covid_7,0.4205,0.0598,0.0,0.5258,0.1649,0.0144,0.1004,0.8183,138
o4mini,1,baseline,covid_8,0.5445,0.0517,0.0,1.6906,0.223,0.0225,0.1487,0.8121,136
o4mini,1,baseline,education_1,0.5645,0.2344,0.2,2.089,0.2651,0.0174,0.121,0.8397,147
o4mini,1,reflection,Bdb001,0.554,0.4644,0.5,0.7342,0.2222,0.0187,0.1111,0.8538,110
o4mini,1,reflection,Bed004,0.6005,0.138,0.1429,0.4244,0.1791,0.0075,0.1194,0.8323,140
o4mini,1,reflection,Bed005,0.6031,0.197,0.1429,0.8666,0.2213,0.0165,0.1393,0.8243,138
o4mini,1,reflection,Bed006,0.184,0.0188,0.0,0.8912,0.2045,0.0076,0.1136,0.8329,141
o4mini,1,reflection,Bed009,0.5303,0.2126,0.1429,1.0186,0.2304,0.0423,0.1152,0.848,123
o4mini,1,reflection,Bed011,0.559,0.1988,0.1667,0.187,0.2489,0.0606,0.1459,0.8441,123
o4mini,1,reflection,ES2008c,0.9026,0.6452,0.8571,0.6524,0.2969,0.0176,0.1397,0.84,115
o4mini,1,reflection,ES2008d,0.4688,0.0199,0.0,0.5852,0.3433,0.0346,0.1631,0.8467,102
o4mini,1,reflection,ES2010a,0.5361,0.1951,0.0,1.2005,0.3574,0.0613,0.2053,0.8473,137
o4mini,1,reflection,ES2010b,0.8408,0.3273,0.3333,0.5486,0.3605,0.0959,0.1905,0.8496,131
o4mini,1,reflection,ES2010c,0.6498,0.2199,0.1667,1.0174,0.4286,0.0935,0.2214,0.8688,126
o4mini,1,reflection,ES2010d,0.5399,0.34,0.3333,0.458,0.2772,0.0302,0.1573,0.826,127
o4mini,1,reflection,covid_0,0.3337,0.221,0.1429,0.5117,0.1606,0.0,0.0949,0.8257,136
o4mini,1,reflection,covid_1,0.4063,0.1169,0.0,0.7729,0.1972,0.0,0.1315,0.8348,127
o4mini,1,reflection,covid_10,0.3505,0.0409,0.0,0.6462,0.1962,0.0228,0.1132,0.8302,130
o4mini,1,reflection,covid_3,0.5327,0.3913,0.4,1.0392,0.2586,0.1043,0.2069,0.8498,137
o4mini,1,reflection,covid_5,0.4605,0.0322,0.0,0.3704,0.18,0.0134,0.1,0.8222,131
o4mini,1,reflection,covid_7,0.4479,0.0564,0.0,0.3043,0.1328,0.0,0.0859,0.8159,122
o4mini,1,reflection,covid_8,0.3229,0.0642,0.0,1.6083,0.2074,0.0224,0.1259,0.8218,132
o4mini,1,reflection,education_1,0.5741,0.2341,0.2,2.0504,0.2667,0.0175,0.1217,0.8396,145
o4mini,2,baseline,Bdb001,0.4344,0.194,0.1429,0.497,0.2387,0.0249,0.1317,0.8514,137
o4mini,2,baseline,Bed004,0.6388,0.0262,0.0,0.5398,0.1946,0.027,0.1208,0.8313,160
o4mini,2,baseline,Bed005,0.2358,0.242,0.25,0.1989,0.2276,0.0164,0.122,0.8283,136
o4mini,2,baseline,Bed006,0.4398,0.034,0.0,0.3975,0.2437,0.0217,0.129,0.8427,156
o4mini,2,baseline,Bed009,0.4904,0.1683,0.1667,1.1244,0.268,0.0417,0.1649,0.8408,128
o4mini,2,baseline,Bed011,0.5435,0.0512,0.0,0.5492,0.281,0.0667,0.1736,0.8369,133
o4mini,2,baseline,ES2008c,0.6934,0.1135,0.0,0.4077,0.3125,0.0551,0.1641,0.848,143
o4mini,2,baseline,ES2008d,0.5171,0.0426,0.0,0.8412,0.3146,0.0377,0.1798,0.8439,134
o4mini,2,baseline,ES2010a,0.7014,0.0602,0.0,1.889,0.3178,0.0625,0.1938,0.8479,131
o4mini,2,baseline,ES2010b,0.3352,0.0128,0.0,0.4796,0.3849,0.0762,0.1956,0.8499,157
o4mini,2,baseline,ES2010c,0.5142,0.0257,0.0,0.7205,0.3595,0.0461,0.1765,0.8581,150
o4mini,2,baseline,ES2010d,0.6746,0.3035,0.3333,0.3566,0.2879,0.0382,0.1667,0.8382,129
o4mini,2,baseline,covid_0,0.4714,0.2208,0.1667,0.4529,0.1673,0.022,0.1091,0.8262,138
o4mini,2,baseline,covid_1,0.4156,0.0835,0.0,0.827,0.1646,0.0,0.107,0.8274,151
o4mini,2,baseline,covid_10,0.5487,0.2653,0.25,0.8515,0.2118,0.0158,0.149,0.8362,126
o4mini,2,baseline,covid_3,0.5362,0.1801,0.1667,0.3625,0.2205,0.0238,0.1102,0.837,155
o4mini,2,baseline,covid_5,0.351,0.0502,0.0,0.3576,0.1853,0.0064,0.1086,0.8255,142
o4mini,2,baseline,covid_7,0.3766,0.4622,0.4,0.703,0.2261,0.0356,0.1272,0.824,145
o4mini,2,baseline,covid_8,0.4431,0.0879,0.0,1.078,0.2595,0.0154,0.1298,0.8249,127
o4mini,2,baseline,education_1,0.8141,0.286,0.2,1.455,0.2592,0.0397,0.1239,0.8413,158
o4mini,2,reflection,Bdb001,0.6361,0.2397,0.2857,0.55,0.2308,0.0172,0.1282,0.8516,127
o4mini,2,reflection,Bed004,0.6216,0.1976,0.2,0.6082,0.2238,0.0364,0.1372,0.8357,144
o4mini,2,reflection,Bed005,0.1152,0.0066,0.0,0.4169,0.2174,0.0088,0.113,0.8319,126
o4mini,2,reflection,Bed006,0.6564,0.1607,0.1667,0.3427,0.239,0.0241,0.1594,0.8472,130
o4mini,2,reflection,Bed009,0.4243,0.189,0.1667,0.9559,0.2473,0.0326,0.1613,0.8399,118
o4mini,2,reflection,Bed011,0.544,0.0518,0.0,0.5172,0.281,0.0667,0.1736,0.8358,133
o4mini,2,reflection,ES2008c,0.7732,0.278,0.3333,0.4701,0.321,0.0581,0.1646,0.8464,127
o4mini,2,reflection,ES2008d,0.6094,0.0683,0.0,0.7507,0.3777,0.0519,0.2232,0.8594,105
o4mini,2,reflection,ES2010a,0.7492,0.0506,0.0,1.1513,0.332,0.07,0.2239,0.8499,132
o4mini,2,reflection,ES2010b,0.5593,0.1948,0.2,0.5081,0.4013,0.0875,0.214,0.8557,139
o4mini,2,reflection,ES2010c,0.6984,0.1769,0.1667,0.7112,0.3481,0.0481,0.1775,0.8587,137
o4mini,2,reflection,ES2010d,0.5921,0.3121,0.4,0.0,0.2257,0.0392,0.1479,0.8323,123
o4mini,2,reflection,covid_0,0.4488,0.1894,0.1667,0.8847,0.1609,0.0154,0.0843,0.827,127
o4mini,2,reflection,covid_1,0.2348,0.1157,0.0,0.6194,0.2069,0.0087,0.1207,0.8308,140
o4mini,2,reflection,covid_10,0.4507,0.3588,0.3333,1.2753,0.2258,0.0244,0.129,0.8337,117
o4mini,2,reflection,covid_3,0.554,0.1883,0.1667,0.4385,0.1724,0.0174,0.1034,0.8339,134
o4mini,2,reflection,covid_5,0.4795,0.0493,0.0,0.5709,0.1684,0.0068,0.1077,0.8239,127
o4mini,2,reflection,covid_7,0.5055,0.5376,0.5,0.4216,0.1679,0.0231,0.1145,0.8268,123
o4mini,2,reflection,covid_8,0.4438,0.0903,0.0,1.124,0.25,0.0076,0.1288,0.8229,128
o4mini,2,reflection,education_1,0.7152,0.4246,0.4286,1.4709,0.2761,0.034,0.1352,0.8442,158
o4mini,3,baseline,Bdb001,0.5577,0.4441,0.5,0.4966,0.2705,0.0248,0.1311,0.8555,139
o4mini,3,baseline,Bed004,0.4737,0.175,0.1667,0.3271,0.2886,0.0473,0.1544,0.836,163
o4mini,3,baseline,Bed005,0.3837,0.2849,0.3333,0.6245,0.2113,0.0532,0.1132,0.8307,155
o4mini,3,baseline,Bed006,0.2137,0.0191,0.0,0.5073,0.2353,0.0158,0.1333,0.841,130
o4mini,3,baseline,Bed009,0.2556,0.2073,0.2,1.9922,0.2667,0.0385,0.1524,0.8507,138
o4mini,3,baseline,Bed011,0.1986,0.0523,0.0,0.3944,0.3256,0.0859,0.186,0.8476,150
o4mini,3,baseline,ES2008c,0.7078,0.2158,0.1667,0.8926,0.2792,0.0392,0.1364,0.8424,188
o4mini,3,baseline,ES2008d,0.5204,0.0214,0.0,0.0,0.3511,0.1077,0.2137,0.8474,128
o4mini,3,baseline,ES2010a,0.8709,0.3112,0.2857,1.6723,0.2985,0.0301,0.1716,0.8501,142
o4mini,3,baseline,ES2010b,0.3608,0.0153,0.0,0.2278,0.3219,0.0552,0.1575,0.8352,130
o4mini,3,baseline,ES2010c,0.6172,0.0256,0.0,0.6944,0.38,0.0738,0.2067,0.8581,139
o4mini,3,baseline,ES2010d,0.6025,0.135,0.0,0.5227,0.2847,0.0502,0.1851,0.8417,146
o4mini,3,baseline,covid_0,0.3981,0.0695,0.0,0.3447,0.1933,0.015,0.119,0.8253,128
o4mini,3,baseline,covid_1,0.4594,0.0886,0.0,0.8416,0.1514,0.008,0.0956,0.8256,153
o4mini,3,baseline,covid_10,0.5562,0.071,0.0,0.862,0.1832,0.0074,0.1099,0.8255,137
o4mini,3,baseline,covid_3,0.3972,0.0827,0.0,0.2524,0.2672,0.0245,0.1296,0.8379,144
o4mini,3,baseline,covid_5,0.5523,0.3446,0.3333,0.2451,0.2327,0.0127,0.1321,0.8312,150
o4mini,3,baseline,covid_7,0.5616,0.1956,0.0,1.0536,0.2189,0.0152,0.1283,0.8266,131
o4mini,3,baseline,covid_8,0.4725,0.0739,0.0,0.7521,0.2414,0.0278,0.1586,0.8279,151
o4mini,3,baseline,education_1,0.6604,0.3372,0.3333,1.3625,0.2521,0.0288,0.1433,0.8411,150
o4mini,3,reflection,Bdb001,0.6503,0.2755,0.3333,0.7426,0.2583,0.0252,0.1417,0.8458,133
o4mini,3,reflection,Bed004,0.5796,0.2171,0.1667,0.2998,0.2912,0.0309,0.1303,0.8314,126
o4mini,3,reflection,Bed005,0.4902,0.288,0.3333,0.7132,0.2214,0.0615,0.1145,0.8276,148
o4mini,3,reflection,Bed006,0.4853,0.0191,0.0,0.3428,0.2441,0.0397,0.1496,0.8412,128
o4mini,3,reflection,Bed009,0.2803,0.2092,0.2,1.9319,0.2679,0.0386,0.1531,0.8513,138
o4mini,3,reflection,Bed011,0.3364,0.0209,0.0,0.1208,0.3248,0.0776,0.188,0.8486,129
o4mini,3,reflection,ES2008c,0.7071,0.1883,0.1667,0.5953,0.2571,0.0647,0.1429,0.8446,163
o4mini,3,reflection,ES2008d,0.5318,0.0587,0.0,0.6094,0.3534,0.081,0.2088,0.8514,117
o4mini,3,reflection,ES2010a,0.8685,0.3323,0.375,1.0755,0.2934,0.0311,0.1544,0.8513,133
o4mini,3,reflection,ES2010b,0.422,0.0166,0.0,0.2563,0.3262,0.0571,0.1631,0.8367,121
o4mini,3,reflection,ES2010c,0.3479,0.1779,0.2,1.1646,0.4014,0.0906,0.2284,0.8635,131
o4mini,3,reflection,ES2010d,0.5981,0.2186,0.2,0.864,0.2619,0.04,0.1667,0.8382,114
o4mini,3,reflection,covid_0,0.3802,0.1036,0.0,0.3201,0.1894,0.0153,0.1136,0.8263,125
o4mini,3,reflection,covid_1,0.6899,0.2597,0.1667,0.8572,0.1333,0.0084,0.1,0.8233,148
o4mini,3,reflection,covid_10,0.4666,0.0828,0.0,0.74,0.2053,0.0,0.1141,0.826,128
o4mini,3,reflection,covid_3,0.6252,0.2633,0.25,1.2508,0.232,0.0242,0.12,0.8381,146
o4mini,3,reflection,covid_5,0.4383,0.3448,0.3333,0.1842,0.2596,0.0141,0.1404,0.8336,120
o4mini,3,reflection,covid_7,0.1775,0.3621,0.3333,0.6695,0.2034,0.0085,0.1356,0.8301,107
o4mini,3,reflection,covid_8,0.5051,0.0687,0.0,0.5878,0.2215,0.0348,0.1522,0.8268,150
o4mini,3,reflection,education_1,0.7029,0.3988,0.4286,1.4835,0.2507,0.0352,0.1399,0.8379,145
